TAKIM;DURUM;DAKIKALAR;GOL SAYISI
Galatasaray;Atılan;0-15;2
Galatasaray;Atılan;16-30;5
Galatasaray;Atılan;31-45;1
Galatasaray;Atılan;46-60;7
Galatasaray;Atılan;61-75;8
Galatasaray;Atılan;76-90;3
Galatasaray;Atılan;90+;2
Galatasaray;Yenilen;0-15;2
Galatasaray;Yenilen;16-30;1
Galatasaray;Yenilen;31-45;1
Galatasaray;Yenilen;46-60;1
Galatasaray;Yenilen;61-75;1
Galatasaray;Yenilen;76-90;2
Galatasaray;Yenilen;90+;0
Fenerbahce;Atılan;0-15;4
Fenerbahce;Atılan;16-30;2
Fenerbahce;Atılan;31-45;6
Fenerbahce;Atılan;46-60;6
Fenerbahce;Atılan;61-75;5
Fenerbahce;Atılan;76-90;6
Fenerbahce;Atılan;90+;1
Fenerbahce;Yenilen;0-15;3
Fenerbahce;Yenilen;16-30;3
Fenerbahce;Yenilen;31-45;0
Fenerbahce;Yenilen;46-60;2
Fenerbahce;Yenilen;61-75;3
Fenerbahce;Yenilen;76-90;0
Fenerbahce;Yenilen;90+;1
