Team;Matches_Played;Goals_Scored;Goals_Conceded;xG_Total;Possession_Percentage;SoT_Per_Match;Pass_Accuracy;Yellow_Cards;Red_Cards;Shots_Tota;Passes_Total;Shots_Total
Galatasaray;13;28;8;30.80;63.0;6.5;442.4;21;2;;506.2;18.4
Fenerbahce;13;30;12;27.80;60.7;7.4;428.5;31;1;;493.5;19.1
Trabzonspor;13;22;11;21.50;51.4;5.5;346.9;21;2;;410.1;15.1
Samsunspor;13;19;12;21.80;50.7;4.5;321.1;29;1;;394.6;13.8
Goztepe;13;15;6;17.00;37.3;4.0;171.3;24;3;;249.9;12.8
Gaziantep;13;20;20;20.90;54.4;4.8;348.7;39;2;;416.3;14.1
Besiktas;13;22;17;25.10;52.4;5.0;346.3;29;2;;421.7;13.8
Kocaelispor;13;11;15;12.10;47.6;3.5;273.7;35;2;;348.0;10.2
Basaksehir;13;16;15;19.20;55.9;4.0;371.9;31;3;;439.1;12.4
Alanyaspor;13;13;14;15.00;47.5;3.8;331.0;28;1;;401.9;12.5
Konyaspor;13;18;20;16.70;53.2;4.4;331.9;30;1;;404.4;14.3
Rizespor;13;16;21;19.00;49.9;3.1;330.3;37;1;;403.5;12.1
Antalyaspor;13;13;23;10.3;47.5;3.7;282.1;32;2;;350.9;8.5
Kas?mpasa;13;13;18;13.00;45.9;3.0;266.1;32;2;;340.0;11.9
Eyupspor;13;7;16;17.30;50.6;3.9;314.1;33;1;;385.3;11.8
Kayserispor;13;13;31;14.60;49.4;4.1;296.2;39;1;;371.1;11.8
Genclerbirligi;13;14;20;13.60;40.0;3.1;240.4;25;5;;308.1;10.1
Karagumruk;13;13;24;14.80;47.5;3.0;284.1;26;2;;368.1;11.5
